timestamp,datetime,latitude,longitude
1771425673,2026-02-18 14:41:13,38.6781,-162.8674
1771425730,2026-02-18 14:42:10,40.8554,-159.2206
1771425732,2026-02-18 14:42:12,40.9294,-159.0882
1771425734,2026-02-18 14:42:14,40.9848,-158.9885
1771425735,2026-02-18 14:42:15,41.0401,-158.8888
1771425737,2026-02-18 14:42:17,41.0952,-158.7888
1771425738,2026-02-18 14:42:18,41.1503,-158.6887
1771425740,2026-02-18 14:42:20,41.2053,-158.5884
1771425741,2026-02-18 14:42:21,41.2602,-158.4879
1771425743,2026-02-18 14:42:23,41.3150,-158.3873
1771425745,2026-02-18 14:42:25,41.3879,-158.2527
